Continent;Pays;Capitale;Nom et prénom du dirigeant;Rôle / titre;Précision;Vérifié le;Source dirigeant;Source capitale / continent;Code ISO
Afrique;Guinée équatoriale;Ciudad de la Paz;Teodoro Obiang Nguema Mbasogo;Président;Ciudad de la Paz a été déclarée capitale par décret-loi en janvier 2026.;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://www.guineaecuatorialpress.com/noticias/decreto_ley_por_el_que_se_declara_la_ciudad_de_la_paz_djibloho_capital_de_la_republica_de_guinea_ecuatorial;GQ
Afrique;Guinée-Bissau;Bissau;Horta Inta-A Na Man;Président de transition;Il est aussi chef du Haut Commandement selon la source.;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;GW
Afrique;Kenya;Nairobi;William Ruto;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;KE
Afrique;Lesotho;Maseru;Letsie III;Roi;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;LS
Afrique;Liberia;Monrovia;Joseph Boakai;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;LR
Afrique;Libye;Tripoli;Mohamed al-Menfi;Président du Conseil présidentiel;La source décrit la fonction comme président du Conseil présidentiel.;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;LY
Afrique;Madagascar;Antananarivo;Michael Randrianirina;Président;Il préside aussi le Conseil de la présidence pour la refondation de la République.;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;MG
Afrique;Malawi;Lilongwe;Peter Mutharika;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;MW
Afrique;Mali;Bamako;Assimi Goïta;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;ML
Afrique;Maroc;Rabat;Mohammed VI;Roi;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;MA
Afrique;Maurice;Port Louis;Dharam Gokhool;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;MU
Afrique;Mauritanie;Nouakchott;Mohamed Ould Ghazouani;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;MR
Afrique;Mozambique;Maputo;Daniel Chapo;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;MZ
Afrique;Namibie;Windhoek;Netumbo Nandi-Ndaitwah;Présidente;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;NA
Afrique;Niger;Niamey;Omar Tiani;Président de transition;Il est aussi président du Conseil national pour la sauvegarde de la patrie.;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;NE
Afrique;Nigeria;Abuja;Bola Tinubu;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;NG
Afrique;Ouganda;Kampala;Yoweri Museveni;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;UG
Afrique;Rwanda;Kigali;Paul Kagame;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;RW
Afrique;République centrafricaine;Bangui;Faustin-Archange Touadéra;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;CF
Afrique;République du Congo;Brazzaville;Denis Sassou Nguesso;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;CG
Afrique;République démocratique du Congo;Kinshasa;Félix Tshisekedi;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;CD
Afrique;Seychelles;Victoria;Patrick Herminie;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;SC
Afrique;Sierra Leone;Freetown;Julius Maada Bio;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;SL
Afrique;Somalie;Mogadiscio;Hassan Sheikh Mohamud;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;SO
Afrique;Soudan;Khartoum;Abdel Fattah al-Burhan;Président du Conseil de souveraineté de transition;Le chef de l'État relève d'un conseil de souveraineté de transition.;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;SD
Afrique;Soudan du Sud;Juba;Salva Kiir;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;SS
Afrique;São Tomé-et-Príncipe;São Tomé;Carlos Vila Nova;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;ST
Afrique;Sénégal;Dakar;Bassirou Diomaye Faye;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;SN
Afrique;Tanzanie;Dodoma;Samia Suluhu Hassan;Présidente;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;TZ
Afrique;Tchad;N'Djamena;Mahamat Déby;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;TD
Afrique;Togo;Lomé;Jean-Lucien Savi de Tové;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;TG
Afrique;Tunisie;Tunis;Kais Saied;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;TN
Afrique;Zambie;Lusaka;Hakainde Hichilema;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;ZM
Afrique;Zimbabwe;Harare;Emmerson Mnangagwa;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;ZW
Afrique;Égypte;Le Caire;Abdel Fattah el-Sisi;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;EG
Afrique;Érythrée;Asmara;Isaias Afwerki;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;ER
Afrique;Éthiopie;Addis-Abeba;Taye Atske Selassie;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;ET
Amérique du Nord;Antigua-et-Barbuda;Saint John's;Charles III;Roi et chef d'État;Charles III est juridiquement le roi et chef d'État d'Antigua-et-Barbuda, royaume souverain distinct du Royaume-Uni. Il est représenté localement par un gouverneur général.;2026-09-20;https://www.royal.uk/commonwealth-realms;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;AG
Amérique du Nord;Bahamas;Nassau;Charles III;Roi et chef d'État;Charles III est juridiquement le roi et chef d'État des Bahamas, royaume souverain distinct du Royaume-Uni. Il est représenté localement par un gouverneur général.;2026-09-20;https://www.royal.uk/commonwealth-realms;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;BS
Amérique du Nord;Barbade;Bridgetown;Jeffrey Bostic;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;BB
Amérique du Nord;Belize;Belmopan;Charles III;Roi et chef d'État;Charles III est juridiquement le roi et chef d'État du Belize, royaume souverain distinct du Royaume-Uni. Il est représenté localement par un gouverneur général.;2026-09-20;https://www.royal.uk/commonwealth-realms;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;BZ
Amérique du Nord;Canada;Ottawa;Charles III;Roi et chef d'État;Charles III est juridiquement le roi et chef d'État du Canada, royaume souverain distinct du Royaume-Uni. Il est représenté localement par un gouverneur général.;2026-09-20;https://www.canada.ca/fr/patrimoine-canadien/services/couronne-canada.html;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;CA
Amérique du Nord;Costa Rica;San José;Laura Fernández;Présidente;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;CR
Amérique du Nord;Cuba;La Havane;Miguel Díaz-Canel;Président;Il est également premier secrétaire du Parti communiste de Cuba.;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;CU
Amérique du Nord;Dominique;Roseau;Sylvanie Burton;Présidente;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;DM
Amérique du Nord;Grenade;Saint-Georges;Charles III;Roi et chef d'État;Charles III est juridiquement le roi et chef d'État de la Grenade, royaume souverain distinct du Royaume-Uni. Il est représenté localement par un gouverneur général.;2026-09-20;https://www.royal.uk/commonwealth-realms;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;GD
Amérique du Nord;Guatemala;Guatemala;Bernardo Arévalo;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;GT
Amérique du Nord;Haïti;Port-au-Prince;Vacant;Président;La présidence est vacante selon la source.;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;HT
Amérique du Nord;Honduras;Tegucigalpa;Nasry Asfura;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;HN
Amérique du Nord;Jamaïque;Kingston;Charles III;Roi et chef d'État;Charles III est juridiquement le roi et chef d'État de la Jamaïque, royaume souverain distinct du Royaume-Uni. Il est représenté localement par un gouverneur général.;2026-09-20;https://www.royal.uk/commonwealth-realms;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;JM
Amérique du Nord;Mexique;Mexico;Claudia Sheinbaum;Présidente;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;MX
Amérique du Nord;Nicaragua;Managua;Daniel Ortega / Rosario Murillo;Coprésidents;Le Nicaragua a deux coprésidents selon la source.;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;NI
Amérique du Nord;Panama;Panama;José Raúl Mulino;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;PA
Amérique du Nord;République dominicaine;Santo Domingo;Luis Abinader;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;DO
Amérique du Nord;Saint-Christophe-et-Niévès;Basseterre;Charles III;Roi et chef d'État;Charles III est juridiquement le roi et chef d'État de Saint-Christophe-et-Niévès, royaume souverain distinct du Royaume-Uni. Il est représenté localement par un gouverneur général.;2026-09-20;https://www.royal.uk/commonwealth-realms;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;KN
Amérique du Nord;Saint-Vincent-et-les Grenadines;Kingstown;Charles III;Roi et chef d'État;Charles III est juridiquement le roi et chef d'État de Saint-Vincent-et-les Grenadines, royaume souverain distinct du Royaume-Uni. Il est représenté localement par un gouverneur général.;2026-09-20;https://www.royal.uk/commonwealth-realms;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;VC
Amérique du Nord;Sainte-Lucie;Castries;Charles III;Roi et chef d'État;Charles III est juridiquement le roi et chef d'État de Sainte-Lucie, royaume souverain distinct du Royaume-Uni. Il est représenté localement par un gouverneur général.;2026-09-20;https://www.royal.uk/commonwealth-realms;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;LC
Amérique du Nord;Salvador;San Salvador;Nayib Bukele;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;SV
Amérique du Nord;Trinité-et-Tobago;Port-d'Espagne;Christine Kangaloo;Présidente;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;TT
Amérique du Nord;États-Unis;Washington;Donald Trump;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;US
Amérique du Sud;Argentine;Buenos Aires;Javier Milei;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;AR
Amérique du Sud;Bolivie;Sucre;Rodrigo Paz;Président;Sucre est la capitale constitutionnelle. La Paz est le siège du gouvernement, mais n'est pas retenue comme réponse.;2026-09-20;https://www.cia.gov/resources/world-leaders/foreign-governments/bolivia;https://www.presidencia.gob.bo/;BO
Amérique du Sud;Brésil;Brasília;Luiz Inácio Lula da Silva;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;BR
Amérique du Sud;Chili;Santiago;José Antonio Kast;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;CL
Amérique du Sud;Colombie;Bogotá;Abelardo de la Espriella;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;CO
Amérique du Sud;Guyana;Georgetown;Irfaan Ali;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;GY
Amérique du Sud;Paraguay;Asunción;Santiago Peña;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;PY
Amérique du Sud;Pérou;Lima;Keiko Fujimori;Présidente;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;PE
Amérique du Sud;Suriname;Paramaribo;Jennifer Geerlings-Simons;Présidente;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;SR
Amérique du Sud;Uruguay;Montevideo;Yamandú Orsi;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;UY
Amérique du Sud;Venezuela;Caracas;Delcy Rodríguez Gómez;Présidente par intérim;La source de référence indique Delcy Rodríguez Gómez comme présidente par intérim.;2026-09-20;https://www.cia.gov/resources/world-leaders/foreign-governments/venezuela;https://www.cia.gov/the-world-factbook/countries/venezuela/;VE
Amérique du Sud;Équateur;Quito;Daniel Noboa;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;EC
Asie;Afghanistan;Kabul;Hibatullah Akhundzada;Guide suprême;Le chef de l'État est le Guide suprême.;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;AF
Asie;Arabie saoudite;Riyad;Salman;Roi;Le prince héritier Mohammed bin Salman est également Premier ministre.;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;SA
Asie;Arménie;Erevan;Vahagn Khachaturyan;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;AM
Asie;Azerbaïdjan;Bakou;Ilham Aliyev;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;AZ
Asie;Bahreïn;Manama;Hamad bin Isa Al Khalifa;Roi;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;BH
Asie;Bangladesh;Dhaka;Mirza Fakhrul Islam Alamgir;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;BD
Asie;Bhoutan;Thimphu;Jigme Khesar Namgyel Wangchuck;Roi;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;BT
Asie;Brunei;Bandar Seri Begawan;Hassanal Bolkiah;Sultan;Il est également Premier ministre.;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;BN
Asie;Cambodge;Phnom Penh;Norodom Sihamoni;Roi;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;KH
Asie;Chine;Pékin;Xi Jinping;Président;Il est également secrétaire général du Parti communiste chinois.;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;CN
Asie;Chypre;Nicosie;Nikos Christodoulides;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;CY
Asie;Corée du Nord;Pyongyang;Kim Jong Un;Président de la Commission des affaires de l'État;Il est également secrétaire général du Parti du travail de Corée.;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;KP
Asie;Corée du Sud;Séoul;Lee Jae Myung;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;KR
Asie;Géorgie;Tbilisi;Mikheil Kavelashvili;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;GE
Asie;Inde;New Delhi;Droupadi Murmu;Présidente;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;IN
Asie;Indonésie;Jakarta;Prabowo Subianto;Président;Jakarta reste la réponse retenue tant que le transfert effectif des fonctions nationales vers Nusantara n'est pas achevé.;2026-09-20;https://www.cia.gov/resources/world-leaders/foreign-governments/indonesia;https://www.reuters.com/world/asia-pacific/indonesias-prabowo-affirms-commitment-new-capital-city-first-visit-president-2026-01-13/;ID
Asie;Irak;Bagdad;Nizar Amidi;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;IQ
Asie;Iran;Téhéran;Mojtaba Khamenei;Guide suprême;"Le président de la République est Masoud Pezeshkian ; le Guide suprême est l'autorité suprême listée par la source.";2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;IR
Asie;Israël;Jérusalem;Isaac Herzog;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;IL
Asie;Japon;Tokyo;Naruhito;Empereur;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;JP
Asie;Jordanie;Amman;Abdullah II;Roi;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;JO
Asie;Kazakhstan;Astana;Kassym-Jomart Tokayev;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;KZ
Asie;Kirghizstan;Bichkek;Sadyr Japarov;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;KG
Asie;Koweït;Koweït;Mishal Al-Ahmad Al-Jaber Al-Sabah;Émir;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;KW
Asie;Laos;Vientiane;Thongloun Sisoulith;Président;Il est également secrétaire général du Parti révolutionnaire populaire lao.;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;LA
Asie;Liban;Beyrouth;Joseph Aoun;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;LB
Asie;Malaisie;Kuala Lumpur;Ibrahim Iskandar;Roi et chef d'État (Yang di-Pertuan Agong);Kuala Lumpur est la capitale nationale. Putrajaya est le centre administratif fédéral, mais n'est pas retenue comme réponse.;2026-09-20;https://www.cia.gov/resources/world-leaders/foreign-governments/malaysia;https://www.malaysia.gov.my/;MY
